date,year,month,channel,revenue
2024-02-01,2024,2,Retail Stores,153478.91
2024-03-01,2024,3,Retail Stores,197281.8
2024-04-01,2024,4,Retail Stores,199465.17
2024-05-01,2024,5,Retail Stores,182957.17
2024-06-01,2024,6,Retail Stores,159860.24
2024-07-01,2024,7,Retail Stores,165900.97
2024-08-01,2024,8,Retail Stores,142691.69
2024-09-01,2024,9,Retail Stores,139945.45
2024-10-01,2024,10,Retail Stores,133656.98
2024-11-01,2024,11,Retail Stores,156131.58
2024-12-01,2024,12,Retail Stores,148304.75
2020-01-01,2020,1,Affiliates,18362.4
2020-02-01,2020,2,Affiliates,22300.05
2020-03-01,2020,3,Affiliates,23923.28
2020-04-01,2020,4,Affiliates,26831.39
2020-05-01,2020,5,Affiliates,25498.16
2020-06-01,2020,6,Affiliates,23372.48
2020-07-01,2020,7,Affiliates,23477.28
2020-08-01,2020,8,Affiliates,17446.15
2020-09-01,2020,9,Affiliates,17104.25
2020-10-01,2020,10,Affiliates,16342.46
2020-11-01,2020,11,Affiliates,17741.93
2020-12-01,2020,12,Affiliates,17705.3
2021-01-01,2021,1,Affiliates,23153.49
2021-02-01,2021,2,Affiliates,23771.44
2021-03-01,2021,3,Affiliates,22817.61
2021-04-01,2021,4,Affiliates,24438.85
2021-05-01,2021,5,Affiliates,26910.73
2021-06-01,2021,6,Affiliates,26612.95
2021-07-01,2021,7,Affiliates,26732.95
2021-08-01,2021,8,Affiliates,26056.22
2021-09-01,2021,9,Affiliates,20398.28
2021-10-01,2021,10,Affiliates,17789.32
2021-11-01,2021,11,Affiliates,16613.49
2021-12-01,2021,12,Affiliates,22213.22
2022-01-01,2022,1,Affiliates,22502.54
2022-02-01,2022,2,Affiliates,25540.79
2022-03-01,2022,3,Affiliates,26829.97
2022-04-01,2022,4,Affiliates,28673.37
2022-05-01,2022,5,Affiliates,31042.48
2022-06-01,2022,6,Affiliates,27498.83
2022-07-01,2022,7,Affiliates,24766.4
2022-08-01,2022,8,Affiliates,21077.3
2022-09-01,2022,9,Affiliates,18585.39
2022-10-01,2022,10,Affiliates,20169.97
2022-11-01,2022,11,Affiliates,21653.14
2022-12-01,2022,12,Affiliates,26935.92
2023-01-01,2023,1,Affiliates,26373.73
2023-02-01,2023,2,Affiliates,30886.9
2023-03-01,2023,3,Affiliates,29341.6
2023-04-01,2023,4,Affiliates,28423.42
2023-05-01,2023,5,Affiliates,28564.24
2023-06-01,2023,6,Affiliates,27670.32
2023-07-01,2023,7,Affiliates,31736.34
2023-08-01,2023,8,Affiliates,23200.46
2023-09-01,2023,9,Affiliates,24732.13
2023-10-01,2023,10,Affiliates,21017.83
2023-11-01,2023,11,Affiliates,25212.19
2023-12-01,2023,12,Affiliates,26232.89
2024-01-01,2024,1,Affiliates,27783.03
2024-02-01,2024,2,Affiliates,30751.93
2024-03-01,2024,3,Affiliates,31189.22
2024-04-01,2024,4,Affiliates,35006.18
2024-05-01,2024,5,Affiliates,32092.89
2024-06-01,2024,6,Affiliates,28494.02
2024-07-01,2024,7,Affiliates,26172.13
2024-08-01,2024,8,Affiliates,27051.46
2024-09-01,2024,9,Affiliates,28039.08
2024-10-01,2024,10,Affiliates,24633.34
2024-11-01,2024,11,Affiliates,24941.4
2024-12-01,2024,12,Affiliates,27924.24
