hotel_id,hotel_name,country,city,star_rating,hotel_type,chain_affiliation,rooms,employees,year_opened,last_renovation,occupancy_rate,adr,revpar,annual_revenue,profit_margin,customer_satisfaction,online_rating,n_reviews
HTL_0788,Hotel_Bilbao_788,spain,Bilbao,1,Independent,,39,17,1980,2022.0,0.508,42.65,21.69,308.7,-0.209,7.1,3.7,196
HTL_0363,Hotel_Lisbon_363,Portugal,Lisbon,3 star,Independent,,133,107,1987,2019.0,0.724,94.62,68.46,3323.5,0.206,7.8,3.9,572
HTL_0787,Hotel_Paris_787,france,Paris,4,Chain - International,Meliá,97,115,2004,2013.0,0.831,251.78,209.1,7403.3,0.036,8.4,3.7,246
HTL_0286,Hotel_Marseille_286,FRANCE,Marseille,1,Independent,,105,60,2004,2018.0,0.573,115.44,66.2,2537.1,0.029,6.9,3.2,294
HTL_0710,Hotel_Bordeaux_710,FRANCE,Bordeaux,4,Independent,,68,73,1971,2002.0,0.695,209.28,145.43,3609.5,0.14,8.3,4.1,288
HTL_0553,Hotel_Seville_553,SPAIN,Seville,4,Business,,175,185,1964,,0.737,166.52,122.66,7835.1,0.15,8.1,4.0,1153
HTL_0421,Hotel_Madeira_421,Portugal,Madeira,2,Independent,,77,50,1966,2007.0,0.648,67.53,43.78,1230.3,0.152,6.2,3.2,366
HTL_0738,Hotel_Milan_738,Italia,Milan,2,Boutique,NH Hotels,75,40,1875,2020.0,0.661,146.0,96.44,2640.1,0.127,6.5,3.6,456
HTL_0433,Hotel_Malaga_433,ES,Malaga,5,Chain - International,Hilton,103,136,2008,,0.835,229.09,191.22,7189.0,0.206,8.8,4.0,631
HTL_0255,Hotel_Lyon_255,FR,Lyon,2 star,Chain - International,Hyatt,106,79,2004,2011.0,0.901,82.52,74.34,2876.4,0.16,6.5,3.1,409
HTL_0641,Hotel_Hamburg_641,Germany,Hamburg,3,Business,,115,113,1973,2008.0,0.554,225.27,124.7,5234.3,0.244,7.4,3.3,335
HTL_0156,Hotel_Madeira_156,Portugal,Madeira,4,Independent,,102,122,2017,,0.836,158.13,132.2,4921.7,-0.024,8.8,4.2,580
HTL_0334,Hotel_Paris_334,France,Paris,4,Boutique,,28,31,1991,2001.0,0.814,179.51,146.08,1492.9,0.002,8.5,4.6,57
HTL_0328,Hotel_Venice_328,Italy,Venice,3,Independent,NH Hotels,64,62,1995,2021.0,0.8,110.31,88.2,2060.4,0.128,7.4,3.8,130
HTL_0447,Hotel_Venice_447,IT,Venice,4 star,Independent,IHG,116,140,2000,2020.0,0.75,204.87,153.62,6504.2,0.041,9.6,4.4,755
HTL_0138,Hotel_Venice_138,italy,Venice,3*,Chain - National,AccorHotels,145,157,1971,2014.0,0.66,204.39,134.86,7137.3,0.069,7.7,3.4,319
HTL_0251,Hotel_Florence_251,italy,Florence,3,Chain - International,Radisson,98,92,1878,2014.0,0.822,185.77,152.71,5462.6,0.143,7.3,3.9,698
HTL_0535,Hotel_Naples_535,Italia,Naples,five,Resort,,318,417,2020,,0.772,299.7,231.47,26866.8,0.155,10.0,4.6,1030
HTL_0066,Hotel_Florence_66,ITALY,Florence,2,Chain - National,Hyatt,71,60,2007,2010.0,0.632,102.56,64.82,1679.7,0.059,7.0,3.1,238
HTL_0064,Hotel_Porto_64,Portugal,Porto,3,Business,,111,89,1964,2014.0,0.537,128.29,68.84,2789.2,0.161,7.3,3.9,499
HTL_0672,Hotel_Barcelona_672,Spain,Barcelona,5 star,Resort,,241,255,2017,,0.759,130.7,99.26,8731.0,-0.063,,4.2,983
HTL_0140,Hotel_Marseille_140,FRANCE,Marseille,4*,Independent,IHG,97,115,1965,2012.0,0.745,291.56,217.09,7686.1,0.133,7.5,3.2,625
HTL_0024,Hotel_Bordeaux_24,FRANCE,Bordeaux,4,Independent,AccorHotels,115,127,1964,2006.0,0.65,304.45,197.95,8309.0,0.155,6.6,3.4,569
HTL_0110,Hotel_Valencia_110,ES,Valencia,2*,Chain - International,IHG,87,69,1893,2017.0,0.907,59.99,54.38,1726.8,,5.8,2.8,577
HTL_0213,Hotel_Barcelona_213,SPAIN,Barcelona,3,Independent,,110,106,1988,2006.0,0.808,82.23,66.4,2666.1,0.06,7.8,3.1,244
HTL_0792,Hotel_Barcelona_792,spain,Barcelona,3,Chain - International,Marriott,117,110,2009,2022.0,0.831,164.01,136.33,5821.8,,6.5,2.8,734
HTL_0320,Hotel_Thessaloniki_320,GREECE,Thessaloniki,3*,Chain - International,AccorHotels,137,138,1976,2008.0,0.837,110.59,92.52,4626.7,0.064,6.3,3.0,561
HTL_0495,Hotel_Rome_495,Italia,Rome,2,Chain - National,Marriott,112,88,2015,,0.701,120.71,84.57,3457.4,0.008,5.7,3.2,554
HTL_0722,Hotel_Faro_722,Portugal,Faro,3,Resort,,166,119,1915,2003.0,0.802,93.7,75.18,4555.1,,6.2,2.7,350
HTL_0463,Hotel_Valencia_463,SPAIN,Valencia,3,Boutique,,59,49,1981,2004.0,0.98,116.51,114.18,2458.8,0.101,6.5,3.0,468
HTL_0067,Hotel_Madeira_67,Portugal,Madeira,4 star,Boutique,,40,43,2005,2008.0,0.72,230.61,166.13,2425.6,0.003,7.1,4.1,181
HTL_0743,Hotel_Marseille_743,france,Marseille,4,Independent,,97,104,1965,2004.0,0.98,224.14,219.66,7777.0,0.159,8.8,4.2,467
HTL_0658,Hotel_Salzburg_658,AUSTRIA,Salzburg,5,Boutique,AccorHotels,46,67,2016,,0.805,270.53,217.89,3658.4,0.03,8.4,3.8,157
HTL_0674,Hotel_Rome_674,Italia,Rome,3,Chain - International,NH Hotels,112,114,1976,2017.0,0.796,194.26,154.61,6320.5,0.175,7.7,3.9,712
HTL_0335,Hotel_Venice_335,Italy,Venice,1,Resort,IHG,184,108,1961,2013.0,0.815,93.29,76.01,5104.8,0.085,,2.6,905
HTL_0496,Hotel_Milan_496,Italy,Milan,4*,Chain - National,Meliá,85,92,1969,2023.0,0.615,198.99,122.41,3797.8,0.065,8.9,4.0,282
HTL_0498,Hotel_Paris_498,FR,Paris,2,Chain - International,Hyatt,85,55,1960,2004.0,0.722,109.26,78.9,2447.7,0.062,7.2,3.6,537
HTL_0581,Hotel_Bordeaux_581,france,Bordeaux,4,Chain - International,Hyatt,269,292,1990,,0.861,326.68,281.35,27624.0,0.085,10.0,4.3,1778
HTL_0696,Hotel_Madrid_696,España,Madrid,3,Chain - International,AccorHotels,97,98,2001,2016.0,0.802,152.64,122.44,4335.0,0.186,6.4,3.4,413
HTL_0209,Hotel_Innsbruck_209,Austria,Innsbruck,4*,Boutique,,49,50,1961,2008.0,0.831,294.74,244.98,4381.4,0.243,8.8,4.1,153
HTL_0310,Hotel_Bilbao_310,spain,Bilbao,3,Chain - International,Local Chain,74,67,2014,,0.889,114.98,102.21,2760.6,0.087,7.9,3.1,576
HTL_0686,Hotel_Bordeaux_686,France,Bordeaux,4,Resort,,205,246,2005,2011.0,0.98,237.68,232.93,17429.0,0.178,8.6,4.3,1947
HTL_D0539,Hotel_Venice_539,Italy,Venice,4*,Business,,113,126,1974,,0.678,294.88,199.81,8241.3,0.156,7.4,4.0,729
HTL_0549,Hotel_Nice_549,france,Nice,4,Boutique,,34,40,1998,2006.0,0.75,314.95,236.09,2929.8,0.024,8.0,3.7,88
HTL_0383,Hotel_Milan_383,Italy,Milan,3,Chain - International,Hilton,60,53,1984,2005.0,0.777,108.4,84.2,1844.0,0.008,6.2,3.4,381
HTL_0507,Hotel_Rotterdam_507,NL,Rotterdam,2,Resort,,89,76,1981,,0.713,136.7,97.42,3164.6,0.046,6.9,3.6,632
HTL_0712,Hotel_Milan_712,ITALY,Milan,4 star,Resort,,230,276,1980,2001.0,0.98,167.57,164.22,13786.3,0.147,8.3,3.7,2167
HTL_0210,Hotel_Paris_210,FR,Paris,4*,Boutique,AccorHotels,70,82,1999,2007.0,0.756,212.73,160.79,4108.2,0.12,7.2,3.2,136
HTL_0780,Hotel_Rome_780,Italy,Rome,1,Independent,,10,5,1982,2022.0,0.623,53.34,33.24,121.3,0.08,6.0,3.2,55
HTL_0079,Hotel_Athens_79,GR,Athens,1,Business,Hilton,42,23,1985,2020.0,0.642,59.36,38.09,584.0,,5.1,2.6,196
HTL_0480,Hotel_Madrid_480,ES,Madrid,2,Independent,Hilton,39,19,1898,2004.0,0.684,79.66,54.48,775.6,0.106,6.6,2.6,206
HTL_0050,Hotel_Frankfurt_50,germany,Frankfurt,4,Chain - International,Meliá,80,79,1993,2016.0,0.806,253.39,204.23,5963.4,0.159,8.2,3.9,527
HTL_0097,Hotel_Santorini_97,GREECE,Santorini,4,Business,,88,104,1972,2013.0,0.844,210.45,177.66,5706.4,0.107,7.4,2.9,261
HTL_0745,Hotel_Athens_745,GREECE,Athens,3,Business,,198,148,1979,2016.0,0.698,156.66,109.32,7900.7,0.258,8.0,4.2,1079
HTL_0232,Hotel_Munich_232,GERMANY,Munich,1,Business,AccorHotels,71,33,1995,2014.0,0.552,87.15,48.11,1246.7,0.111,6.6,3.4,119
HTL_0197,Hotel_Paris_197,France,Paris,2,Business,,74,52,2003,2004.0,0.703,151.37,106.35,2872.4,,5.9,2.8,349
HTL_0205,Hotel_Florence_205,IT,Florence,2,Chain - National,Meliá,65,47,1979,2008.0,0.503,102.82,51.7,1226.5,0.116,5.9,2.4,241
HTL_D0386,Hotel_Malaga_386,Spain,Malaga,5,Chain - National,Meliá,136,184,2005,2005.0,0.742,223.26,165.65,8223.1,0.169,10.0,4.7,825
HTL_0034,Hotel_Seville_34,Spain,Seville,2,Budget,AccorHotels,128,117,2012,,0.747,64.9,48.46,2263.9,0.12,6.1,2.7,324
HTL_0032,Hotel_Lisbon_32,Portugal,Lisbon,3,Resort,Marriott,201,169,1982,2004.0,0.628,132.66,83.26,6108.1,0.217,6.9,3.1,784
HTL_0538,Hotel_Santorini_538,Greece,Santorini,4,Boutique,,72,73,1985,2022.0,0.771,209.63,161.66,4248.3,0.241,7.0,3.5,170
HTL_0282,Hotel_Rotterdam_282,NETHERLANDS,Rotterdam,3,Independent,IHG,83,84,1973,2010.0,0.586,175.3,102.72,,0.016,6.7,3.3,403
HTL_0339,Hotel_Frankfurt_339,germany,Frankfurt,1,Chain - National,Meliá,64,33,1961,2012.0,,91.78,36.05,842.1,,4.5,2.3,151
HTL_0502,Hotel_Santorini_502,GR,Santorini,3,Boutique,,36,36,1961,2007.0,0.661,161.85,107.03,1406.4,0.203,6.3,3.2,175
HTL_0216,Hotel_Madeira_216,PORTUGAL,Madeira,3,Independent,,50,50,1942,2017.0,0.778,132.97,103.43,1887.5,0.116,7.9,3.9,149
HTL_0443,Hotel_Salzburg_443,AT,Salzburg,1 star,Independent,,67,37,2003,2017.0,0.646,86.63,55.94,1368.0,0.137,6.7,3.6,237
HTL_0678,Hotel_Santorini_678,GR,Santorini,four,Business,,107,99,1983,,0.806,178.71,144.06,5626.1,0.093,7.0,3.2,553
HTL_0073,Hotel_Mykonos_73,GR,Mykonos,3,Boutique,,42,34,1960,2022.0,0.924,63.52,58.69,899.7,0.079,8.8,4.6,214
HTL_0078,Hotel_Bilbao_78,spain,Bilbao,5,Independent,,62,84,1984,2005.0,0.77,200.09,154.11,3487.4,0.118,8.8,4.2,398
HTL_0550,Hotel_Nice_550,France,Nice,five,Chain - National,IHG,102,110,1977,2011.0,0.974,274.84,267.81,9970.6,0.062,7.9,4.4,782
HTL_0526,Hotel_Barcelona_526,Spain,Barcelona,5 star,Resort,,443,573,2031,,0.98,208.55,204.38,33047.8,0.188,,4.0,3129
HTL_D0747,Hotel_Naples_747,ITALY,Naples,1,Boutique,,16,8,1979,2000.0,0.861,64.01,55.13,322.0,0.092,7.7,3.4,92
HTL_0293,Hotel_Venice_293,italy,Venice,3*,Independent,,99,89,2008,2012.0,0.537,182.04,97.84,,0.041,8.8,4.3,354
HTL_0451,Hotel_Porto_451,Portugal,Porto,4,Resort,,242,266,2018,,0.906,131.38,118.99,10510.8,0.145,8.7,4.0,1036
HTL_0356,Hotel_Munich_356,Germany,Munich,2,Boutique,,50,29,1878,2014.0,0.755,146.01,110.18,2010.9,0.066,6.2,2.9,219
HTL_0610,Hotel_Athens_610,Greece,Athens,1*,Independent,,91,36,1982,2003.0,0.623,39.21,24.44,811.7,,7.5,3.6,368
HTL_0353,Hotel_Venice_353,Italia,Venice,5,Budget,,204,256,2011,,0.814,249.54,203.14,15125.7,0.149,8.1,3.9,1024
HTL_0537,Hotel_Milan_537,italy,Milan,4,Chain - National,IHG,99,91,1885,2004.0,0.747,142.22,106.21,3837.8,0.104,6.4,3.4,736
HTL_0726,Hotel_Rome_726,Italy,Rome,3*,Independent,,57,49,1986,2023.0,0.484,214.29,103.67,2156.9,0.129,6.9,3.6,104
HTL_0617,Hotel_Cologne_617,GERMANY,Cologne,4,Chain - National,Hilton,89,84,1980,2006.0,0.793,273.39,216.77,7041.6,0.059,7.1,2.9,272
HTL_0395,Hotel_Barcelona_395,spain,Barcelona,2,Chain - National,Meliá,116,70,2017,,0.683,91.75,62.64,2652.0,-0.012,5.4,2.6,270
HTL_0446,Hotel_Lyon_446,FR,Lyon,3,Resort,NH Hotels,134,135,1851,,0.88,248.39,218.52,10687.7,0.196,,3.5,1177
HTL_0626,Hotel_Berlin_626,DE,Berlin,3,Independent,,79,76,1963,2020.0,0.676,176.33,119.14,3435.5,0.047,6.0,2.6,471
HTL_0200,Hotel_Barcelona_200,España,Barcelona,4,Chain - National,IHG,86,98,1985,2013.0,0.895,149.22,133.54,4192.0,0.093,8.4,4.5,726
HTL_0006,Hotel_Paris_6,France,Paris,1,Chain - International,Radisson,46,27,1992,2004.0,0.716,66.21,47.4,795.9,0.076,7.4,4.0,284
HTL_0055,Hotel_Frankfurt_55,GERMANY,Frankfurt,3,Business,,68,45,2021,,0.701,232.37,162.99,4045.3,0.1,7.3,3.7,393
HTL_0775,Hotel_Amsterdam_775,Holland,Amsterdam,5,Chain - International,Local Chain,115,132,1994,2021.0,0.86,366.25,315.09,13225.9,0.094,,4.1,363
HTL_0611,Hotel_Cologne_611,germany,Cologne,5,Boutique,,47,62,1981,2013.0,0.782,262.31,205.22,3520.6,,7.7,3.7,140
HTL_0267,Hotel_Cologne_267,Deutschland,Cologne,3,Independent,,133,100,2008,2021.0,0.633,197.88,125.21,6078.3,0.125,7.5,3.3,466
HTL_0559,Hotel_Seville_559,Spain,Seville,4,Independent,,169,198,1969,2001.0,0.848,212.6,180.34,,,9.1,4.3,512
HTL_0098,Hotel_Paris_98,France,Paris,2,Independent,AccorHotels,103,72,2019,,0.653,175.79,114.79,4315.4,0.039,5.8,2.7,259
HTL_0193,Hotel_Marseille_193,France,Marseille,4,Boutique,,35,39,1982,2016.0,0.881,267.41,235.69,3010.9,0.144,7.5,3.8,96
HTL_0077,Hotel_Salzburg_77,Austria,Salzburg,4 star,Resort,,167,155,1998,2008.0,0.856,218.14,186.62,11375.7,0.175,9.8,4.8,862
HTL_0121,Hotel_Frankfurt_121,GERMANY,Frankfurt,4,Boutique,Marriott,44,50,1978,2015.0,0.649,211.77,137.52,2208.6,0.193,6.9,3.0,144
HTL_0362,Hotel_Bordeaux_362,FRANCE,Bordeaux,3 star,Chain - International,Hyatt,87,86,1973,2021.0,0.946,206.88,195.76,6216.3,0.159,8.4,3.8,746
HTL_0790,Hotel_Rotterdam_790,NL,Rotterdam,5,Chain - International,IHG,118,141,1978,2005.0,0.754,283.65,214.0,9217.0,0.14,7.5,3.6,725
HTL_0219,Hotel_Cologne_219,Deutschland,Cologne,5,Chain - International,Marriott,173,217,1976,2004.0,0.98,239.78,234.99,14838.3,0.116,9.8,4.1,1298
HTL_0382,Hotel_Barcelona_382,spain,Barcelona,4,Independent,Marriott,85,96,2011,,0.794,153.64,121.97,3784.2,0.045,8.0,4.3,555
HTL_0440,Hotel_Madrid_440,España,Madrid,3,Independent,,106,109,1977,2011.0,0.822,110.34,90.71,3509.6,0.237,9.2,4.5,739
HTL_D0625,Hotel_Bilbao_625,SPAIN,Bilbao,5,Independent,,84,104,1996,2021.0,0.876,184.58,161.61,4954.9,-0.086,7.6,3.6,632
HTL_0085,Hotel_Barcelona_85,Spain,Barcelona,4*,Independent,,82,82,1990,2019.0,0.82,143.98,118.05,3533.2,0.153,,4.0,325
HTL_0011,Hotel_Lyon_11,france,Lyon,3,Independent,,155,108,2008,2021.0,0.872,198.17,172.78,,0.136,8.2,4.0,1265
HTL_0663,Hotel_Venice_663,Italy,Venice,4*,Chain - International,IHG,150,172,1985,2020.0,0.918,105.02,96.37,5276.5,0.17,8.4,4.1,537
HTL_0111,Hotel_Bilbao_111,spain,Bilbao,3,Chain - National,Local Chain,72,54,1966,2011.0,0.671,75.52,50.66,1331.4,-0.104,6.7,3.2,132
HTL_0639,Hotel_Venice_639,IT,Venice,5,Independent,,93,112,1996,2001.0,0.782,308.91,241.44,,0.271,9.1,4.0,341
HTL_0514,Hotel_Berlin_514,Deutschland,Berlin,four,Chain - International,Marriott,145,152,1986,2000.0,0.868,268.89,233.31,12347.7,0.185,7.7,3.9,1172
HTL_0366,Hotel_Cologne_366,Germany,Cologne,3,Chain - National,Hilton,56,54,2007,2012.0,0.632,187.71,118.65,2425.2,0.146,7.7,3.5,199
HTL_0406,Hotel_Rome_406,ITALY,Rome,4,Independent,NH Hotels,119,136,1985,2011.0,0.677,285.99,193.49,8404.4,0.037,10.0,4.3,729
HTL_0329,Hotel_Marseille_329,france,Marseille,2,Boutique,Marriott,10,7,1936,2010.0,0.662,,103.57,378.0,0.043,6.8,,44
HTL_0597,Hotel_Athens_597,GREECE,Athens,2 star,Boutique,,28,22,2016,,0.725,98.06,71.1,726.6,0.143,7.3,3.7,79
HTL_0119,Hotel_Valencia_119,SPAIN,Valencia,5 star,Independent,,172,232,1982,2011.0,0.71,239.3,169.89,,0.212,9.7,4.5,534
HTL_0586,Hotel_Hamburg_586,Deutschland,Hamburg,1,Boutique,NH Hotels,39,14,1980,2021.0,0.488,60.11,29.31,417.2,0.088,5.8,3.4,81
HTL_0301,Hotel_Seville_301,Spain,Seville,2,Resort,,189,123,1988,2020.0,0.625,88.19,55.09,3800.5,0.084,6.0,2.9,632
HTL_0030,Hotel_Cologne_30,Germany,Cologne,3 star,Resort,,126,104,2020,,0.767,180.66,138.56,6372.3,-0.01,,3.2,754
HTL_0368,Hotel_Paris_368,FRANCE,Paris,3,Boutique,,27,24,2008,,0.613,201.25,123.27,1214.8,0.111,8.3,3.9,109
HTL_0351,Hotel_Naples_351,IT,Naples,2,Chain - International,IHG,38,27,2000,,0.552,129.2,71.26,988.3,-0.061,6.4,3.0,208
HTL_0287,Hotel_Cologne_287,germany,Cologne,4,Budget,,228,252,1990,2020.0,0.489,240.09,117.36,9766.4,0.145,8.2,3.9,404
HTL_0412,Hotel_Malaga_412,SPAIN,Malaga,4,Budget,,245,304,2010,,0.896,177.32,158.96,14215.2,0.037,8.1,3.0,664
HTL_0082,Hotel_Barcelona_82,Spain,Barcelona,3,Chain - International,Marriott,72,77,1962,2017.0,0.72,154.62,111.38,2927.1,0.141,6.8,3.5,144
HTL_0776,Hotel_Hamburg_776,Germany,Hamburg,2,Chain - National,Radisson,94,62,2008,2014.0,0.708,106.84,75.69,2597.0,0.239,5.0,2.8,512
HTL_D0023,Hotel_Valencia_23,Spain,Valencia,4,Boutique,,50,48,1936,2021.0,0.689,167.79,115.65,2110.6,0.098,7.0,3.3,131
HTL_0723,Hotel_Porto_723,PT,Porto,4,Independent,NH Hotels,77,99,2014,,0.644,236.16,151.98,4271.4,0.168,8.2,4.5,217
HTL_0606,Hotel_Florence_606,Italia,Florence,4,Independent,,70,79,2021,,0.748,201.59,150.87,3854.8,0.274,8.3,3.9,378
HTL_0707,Hotel_Nice_707,FRANCE,Nice,3,Chain - National,Best Western,79,76,1978,2020.0,0.756,194.47,147.09,4241.3,0.089,10.0,4.1,188
HTL_0327,Hotel_Hamburg_327,DE,Hamburg,4 star,Chain - International,IHG,111,125,2011,,0.65,208.58,135.52,5490.4,0.102,9.5,4.4,687
HTL_D0015,Hotel_Madeira_15,PT,Madeira,5,Chain - National,Radisson,83,105,1989,2009.0,0.832,135.09,112.42,3405.8,0.176,9.9,4.4,174
HTL_0424,Hotel_Venice_424,IT,Venice,4,Business,,143,177,1963,2020.0,0.714,196.47,140.24,7319.7,0.086,7.8,3.6,710
HTL_0448,Hotel_Munich_448,Deutschland,Munich,two,Chain - National,AccorHotels,86,44,2015,,0.664,153.82,102.13,3206.0,0.116,6.6,3.3,521
HTL_0361,Hotel_Berlin_361,DE,Berlin,two,Chain - National,Radisson,33,21,1931,2014.0,0.765,146.0,111.74,1345.9,-0.05,7.7,3.8,111
HTL_0760,Hotel_Valencia_760,Spain,Valencia,4,Chain - International,Radisson,113,117,1976,2006.0,0.934,136.98,127.95,5277.4,0.258,9.0,4.3,737
HTL_0397,Hotel_Madeira_397,Portugal,Madeira,5,Resort,,241,305,1982,,0.928,184.82,171.54,15089.3,0.252,8.0,3.5,648
HTL_0008,Hotel_Florence_8,Italia,Florence,4,Resort,,196,214,2022,,0.93,208.62,194.0,13878.9,0.166,9.1,4.3,1567
HTL_0317,Hotel_Marseille_317,france,Marseille,4,Business,,124,138,1857,2023.0,0.778,164.74,128.11,5798.2,0.145,7.5,3.5,621
HTL_0102,Hotel_Madrid_102,spain,Madrid,5,Boutique,NH Hotels,32,39,1960,2005.0,0.872,159.98,139.54,1629.8,0.141,8.5,3.9,122
HTL_D0072,Hotel_Lyon_72,FR,Lyon,2 star,Chain - National,Meliá,92,45,1960,2007.0,0.902,193.12,174.25,5851.3,0.056,6.0,3.5,474
HTL_0315,Hotel_Florence_315,IT,Florence,4,Business,IHG,95,105,1976,2002.0,0.682,287.13,195.81,6789.7,0.22,7.1,3.6,595
HTL_0793,Hotel_Florence_793,italy,Florence,3 star,Chain - International,Marriott,112,101,1973,2021.0,0.901,172.43,155.37,6351.5,0.123,8.7,3.9,285
HTL_0585,Hotel_Rotterdam_585,NL,Rotterdam,3,Independent,,111,110,1972,2002.0,0.459,96.88,44.46,1801.5,-0.122,6.9,3.5,164
HTL_0003,Hotel_Lyon_3,FRANCE,Lyon,3,Independent,,58,50,2006,2012.0,0.751,207.95,156.17,3306.2,0.113,8.3,4.0,310
HTL_0713,Hotel_Marseille_713,France,Marseille,4,Boutique,,33,35,1967,2019.0,0.771,312.69,241.19,2905.2,0.167,9.5,3.8,77
HTL_0761,Hotel_Bordeaux_761,FR,Bordeaux,3,Business,,59,48,1975,2001.0,0.824,165.37,136.19,2932.8,0.164,8.2,4.2,283
HTL_0582,Hotel_Bordeaux_582,France,Bordeaux,1,Business,,44,24,1990,2006.0,0.754,104.27,78.63,1262.8,0.027,,3.4,94
HTL_0291,Hotel_Venice_291,italy,Venice,3,Independent,,52,34,2007,2018.0,0.586,129.31,75.75,,-0.025,7.2,2.8,199
HTL_0212,Hotel_Malaga_212,ES,Malaga,5,Budget,,158,192,1975,2005.0,0.861,195.72,168.43,9713.3,0.21,,4.1,567
HTL_0482,Hotel_Madrid_482,SPAIN,Madrid,5*,Boutique,,54,62,1965,2013.0,0.675,176.58,119.24,2350.2,0.15,9.1,3.9,333
HTL_0769,Hotel_Paris_769,FRANCE,Paris,3,Chain - National,NH Hotels,97,82,1898,2009.0,0.643,233.81,150.28,5320.8,0.041,7.7,3.3,481
HTL_0528,Hotel_Milan_528,Italy,Milan,2,Chain - International,Radisson,90,59,1970,2021.0,0.741,101.93,75.57,2482.4,0.004,5.9,3.4,435
HTL_0240,Hotel_Lisbon_240,Portugal,Lisbon,3,Independent,NH Hotels,89,69,1964,2012.0,0.712,86.94,61.91,2011.2,0.042,8.6,3.8,226
HTL_0690,Hotel_Naples_690,IT,Naples,3,Boutique,,49,38,2020,,0.767,170.97,131.09,2344.5,0.228,8.2,3.7,258
HTL_0645,Hotel_Lisbon_645,PORTUGAL,Lisbon,3,Chain - National,AccorHotels,39,31,2007,2023.0,0.74,117.72,87.13,1240.3,-0.076,6.8,2.9,80
HTL_0343,Hotel_Bordeaux_343,FR,Bordeaux,4,Independent,,82,81,1968,2019.0,0.816,274.99,224.36,6715.2,0.153,8.6,4.2,189
HTL_0300,Hotel_Venice_300,Italia,Venice,3,Resort,,100,86,1946,2012.0,0.98,164.37,161.08,5879.5,-0.003,6.7,3.6,603
HTL_0384,Hotel_Bilbao_384,spain,Bilbao,3,Business,,108,93,2009,2018.0,0.751,157.3,118.14,4657.1,0.061,8.9,4.4,522
HTL_0080,Hotel_Milan_80,ITALY,Milan,2 star,Independent,,47,38,2018,,0.665,97.33,64.74,,0.019,,2.9,92
